t,survival_rate,expected_benefit,net_single_premium
360,0.33802759110996905,101.71341758574796,12064.142601540438
361,0.3370135083366391,101.40827733299072,12022.241329874461
362,0.3360024678116292,101.10405250099174,11980.437217804178
363,0.3349944604081943,100.80074034348876,11938.7298311297
364,0.33398947702696974,100.4983381224583,11897.11873624014
365,0.3329875085958888,100.19684310809093,11855.60350010827
366,0.33198854607010114,99.89625257876666,11814.183690285177
367,0.33099258043189084,99.59656382103036,11772.858874894942
368,0.32999960269059514,99.29777412956726,11731.62862262928
369,0.32900960388252337,98.99988080717854,11690.49250274221
370,0.3280225750708758,98.70288116475702,11649.450085044708
371,0.32703850734566314,98.40677252126272,11608.500939899348
372,0.32605739182362614,98.11155220369895,11567.644638214975
373,0.3250792196481553,97.81721754708785,11526.880751441331
374,0.3241039819892108,97.52376589444658,11486.208851563713
375,0.32313167004324317,97.23119459676325,11445.628511097613
376,0.32216227503311345,96.93950101297295,11405.139303083353
377,0.3211957882080141,96.64868250993405,11364.74080108073
378,0.32023220084339005,96.35873646240422,11324.43257916365
379,0.31927150424085987,96.06966025301702,11284.21421191475
380,0.3183136897281373,95.78145127225797,11244.08527442004
381,0.31735874865895286,95.49410691844119,11204.04534226352
382,0.316406672412976,95.20762459768586,11164.093991521804
383,0.3154574523957371,94.9220017238928,11124.230798758737
384,0.3145110800385499,94.63723571872113,11084.455341020017
385,0.31356754679843424,94.35332401156496,11044.7671958278
386,0.31262684415803893,94.07026403953027,11005.165941175315
387,0.3116889636255648,93.78805324741168,10965.651155521462
388,0.3107538967346881,93.50668908766944,10926.222417785419
389,0.30982163504448407,93.22616902040643,10886.879307341236
390,0.3088921701393506,92.94649051334522,10847.621404012432
391,0.30796549362893255,92.66765104180519,10808.448288066582
392,0.30704159714804574,92.38964808867978,10769.3595402099
393,0.3061204723566016,92.11247914441373,10730.354741581825
394,0.3052021109395318,91.83614170698048,10691.433473749596
395,0.3042865046067132,91.56063328185955,10652.595318702826
396,0.30337364509289305,91.28595138201396,10613.83985884807
397,0.30246352415761435,91.01209352786792,10575.166677003386
398,0.3015561335851415,90.73905724728431,10536.575356392894
399,0.30065146518438607,90.46684007554245,10498.065480641335
400,0.2997495107888329,90.19543955531582,10459.636633768621
401,0.2988502622564664,89.92485323664987,10421.28840018437
402,0.29795371146969696,89.65507867693992,10383.02036468246
403,0.29705985033528787,89.38611344090909,10344.832112435546
404,0.296168670784282,89.11795510058636,10306.72322898961
405,0.29528016477192914,88.8506012352846,10268.693300258466
406,0.29439432427761336,88.58404943157875,10230.741912518297
407,0.2935111413047805,88.31829728328401,10192.86865240215
408,0.29263060788086614,88.05334239143416,10155.07310689446
409,0.2917527160572235,87.78918236425984,10117.35486332554
410,0.29087745790905184,87.52581481716706,10079.713509366085
411,0.2900048255353247,87.26323737271557,10042.148633021661
412,0.28913481105871874,87.0014476605974,10004.659822627189
413,0.28826740662554257,86.74044331761563,9967.246666841424
414,0.28740260440566595,86.48022198766277,9929.908754641425
415,0.28654039659244895,86.22078132169979,9892.645675317031
416,0.2856807754026716,85.96211897773469,9855.457018465308
417,0.2848237330764636,85.70423262080148,9818.34237398501
418,0.2839692618772342,85.44711992293908,9781.301332071029
419,0.2831173540916025,85.19077856317027,9744.33348320883
420,0.28226800202932767,84.93520622748075,9707.438418168886
421,0.28142119802323967,84.68040060879831,9670.61572800111
422,0.28057693442917,84.4263594069719,9633.865004029272
423,0.27973520362588244,84.173080328751,9597.18583784541
424,0.2788959980150048,83.92056108776474,9560.577821304241
425,0.2780593100209598,83.66879940450144,9524.040546517557
426,0.2772251320908969,83.41779300628794,9487.57360584862
427,0.2763934566946242,83.16753962726906,9451.176591906542
428,0.2755642763245403,82.91803700838724,9414.849097540668
429,0.27473758349556665,82.66928289736208,9378.590715834942
430,0.27391337074507993,82.42127504867,9342.401040102266
431,0.2730916306328447,82.17401122352398,9306.279663878864
432,0.27227235574094616,81.92748918985342,9270.226180918617
433,0.2714555386737233,81.68170672228385,9234.240185187406
434,0.2706411720577021,81.43666160211698,9198.321270857447
435,0.269829248541529,81.19235161731063,9162.469032301606
436,0.2690197607959044,80.94877456245871,9126.683064087716
437,0.26821270151351667,80.70592823877132,9090.962960972882
438,0.2674080634089761,80.46381045405501,9055.308317897781
439,0.2666058392187492,80.22241902269283,9019.718729980943
440,0.26580602170109296,79.98175176562476,8984.19379251304
441,0.26500860363598966,79.74180651032789,8948.733100951153
442,0.2642135778250817,79.5025810907969,8913.336250913027
443,0.26342093709160647,79.26407334752452,8878.00283817134
444,0.26263067428033166,79.02628112748194,8842.732458647935
445,0.26184278225749064,78.78920228409949,8807.524708408055
446,0.26105725391071816,78.55283467724719,8772.379183654575
447,0.260274082148986,78.31717617321544,8737.295480722212
448,0.2594932599025391,78.0822246446958,8702.273196071741
449,0.25871478012283144,77.84797797076173,8667.311926284181
450,0.25793863578246295,77.61443403684943,8632.411268054986
451,0.2571648198751156,77.3815907347389,8597.570818188226
452,0.25639332541549026,77.14944596253467,8562.790173590753
453,0.2556241454392438,76.91799762464707,8528.068931266358
454,0.25485727300292604,76.68724363177313,8493.406688309919
455,0.25409270118391725,76.45718190087781,8458.803041901534
456,0.2533304230803655,76.22781035517517,8424.257589300658
457,0.25257043181112443,75.99912692410966,8389.76992784021
458,0.25181272051569104,75.77112954333732,8355.339654920681
459,0.251057282354144,75.54381615470732,8320.96636800423
460,0.25030411050708157,75.3171847062432,8286.649664608769
461,0.24955319817556032,75.09123315212447,8252.389142302036
462,0.24880453858103363,74.8659594526681,8218.184398695661
463,0.24805812496529053,74.6413615743101,8184.035031439207
464,0.24731395059039465,74.41743748958716,8149.940638214221
465,0.24657200873862348,74.1941851771184,8115.900816728255
466,0.2458322927124076,73.97160262158705,8081.915164708892
467,0.24509479583427038,73.74968781372229,8047.98327989774
468,0.24435951144676757,73.52843875028113,8014.104760044437
469,0.24362643291242728,73.30785343403028,7980.279202900626
470,0.24289555361369,73.08792987372819,7946.506206213928
471,0.24216686695284892,72.868666084107,7912.7853677219
472,0.24144036635199037,72.65006008585468,7879.116285145981
473,0.24071604525293439,72.43210990559712,7845.498556185426
474,0.2399938971171756,72.21481357588033,7811.931778511228
475,0.23927391542582405,71.99816913515268,7778.415549760023
476,0.23855609367954658,71.78217462774721,7744.949467527995
477,0.23784042539850794,71.56682810386398,7711.533129364749
478,0.2371269041223124,71.35212761955239,7678.166132767188
479,0.23641552340994548,71.13807123669372,7644.848075173373
480,0.23570627683971565,70.92465702298365,7611.578553956362
481,0.2349991580091965,70.7118830519147,7578.3571664180445
482,0.2342941605351689,70.49974740275896,7545.18350978296
483,0.23359127805356342,70.28824816055067,7512.057181192102
484,0.23289050421940272,70.07738341606903,7478.977777696708
485,0.2321918327067445,69.86715126582082,7445.944896252041
486,0.23149525720862427,69.65754981202336,7412.95813371115
487,0.2308007714369984,69.44857716258728,7380.0170868186215
488,0.2301083691226874,69.24023143109953,7347.1213522043145
489,0.22941804401531934,69.03251073680623,7314.27052637708
490,0.2287297898832734,68.8254132045958,7281.464205718475
491,0.22804360051362357,68.61893696498203,7248.701986476447
492,0.2273594697120827,68.41308015408707,7215.983464759021
493,0.22667739130294645,68.2078409136248,7183.308236527959
494,0.22599735912903762,68.00321739088393,7150.675897592405
495,0.2253193670516505,67.79920773871129,7118.086043602528
496,0.22464340895049556,67.59581011549515,7085.538270043135
497,0.22396947872364406,67.39302268514867,7053.032172227277
498,0.22329757028747313,67.19084361709322,7020.567345289838
499,0.2226276775766107,66.98927108624194,6988.143384181108
500,0.22195979454388087,66.78830327298321,6955.759883660339
501,0.22129391516024924,66.58793836316426,6923.416438289292
502,0.2206300334147685,66.38817454807477,6891.112642425757
503,0.2199681433145242,66.18901002443056,6858.84809021707
504,0.21930823888458062,65.99044299435727,6826.622375593602
505,0.21865031416792688,65.79247166537418,6794.43509226224
506,0.2179943632254231,65.59509425037807,6762.285833699849
507,0.21734038013574683,65.39830896762693,6730.174193146718
508,0.21668835899533959,65.20211404072406,6698.099763599986
509,0.21603829391835358,65.00650769860188,6666.062137807057
510,0.21539017903659852,64.81148817550607,6634.060908258997
511,0.21474400849948871,64.61705371097956,6602.095667183908
512,0.21409977647399026,64.42320254984662,6570.166006540292
513,0.21345747714456828,64.22993294219708,6538.271518010397
514,0.21281710471313459,64.03724314337049,6506.41179299354
515,0.2121786533989952,63.84513141394038,6474.586422599419
516,0.2115421174387982,63.653596019698554,6442.794997641406
517,0.2109074910864818,63.46263523163946,6411.037108629815
518,0.21027476861322236,63.272247325944534,6379.312345765165
519,0.2096439443073827,63.082430583966705,6347.620298931416
520,0.20901501247446055,62.893183292214815,6315.960557689185
521,0.20838796743703716,62.70450374233817,6284.332711268955
522,0.20776280353472606,62.51639023111115,6252.736348564249
523,0.20713951512412188,62.32884106041782,6221.171058124803
524,0.2065180965787495,62.14185453723656,6189.636428149705
525,0.20589854228901325,61.955428973624855,6158.132046480531
526,0.20528084666214622,61.76956268670398,6126.65750059444
527,0.20466500412215977,61.58425399864386,6095.212377597273
528,0.2040510091097933,61.399501236647936,6063.796264216621
529,0.2034388560824639,61.21530273293799,6032.408746794873
530,0.2028285395142165,61.03165682473917,6001.049411282244
531,0.20222005389567385,60.84856185426496,5969.717843229792
532,0.20161339373398682,60.66601616870216,5938.413627782405
533,0.20100855355278485,60.48401812019605,5907.13634967177
534,0.20040552789212648,60.302566065835464,5875.885593209331
535,0.1998043113084501,60.12165836763795,5844.660942279212
536,0.19920489837452476,59.94129339253504,5813.461980331131
537,0.1986072836794012,59.76146951235743,5782.288290373288
538,0.198011461828363,59.582185103820365,5751.139454965234
539,0.1974174274428779,59.403438548508895,5720.015056210721
540,0.19682517516054926,59.22522823286337,5688.914675750522
541,0.19623469963506762,59.04755254816478,5657.837894755246
542,0.1956459955361624,58.870409890520286,5626.784293918116
543,0.1950590575495539,58.69379866084872,5595.753453447734
544,0.19447388037690524,58.51771726486617,5564.744953060818
545,0.19389045873577454,58.342164113071576,5533.758371974931
546,0.19330878735956722,58.16713762073236,5502.793288901168
547,0.1927288609974885,57.99263620787017,5471.849282036837
548,0.19215067441449604,57.81865829924656,5440.925929058111
549,0.19157422239125255,57.645202324348816,5410.0228071126585
550,0.1909994997240788,57.47226671737577,5379.13949281225
551,0.19042650122490654,57.29984991722363,5348.275562225348
552,0.18985522172123181,57.12795036747196,5317.430590869664
553,0.18928565605606812,56.95656651636955,5286.604153704702
554,0.1887177990878999,56.78569681682044,5255.795825124274
555,0.1881516456906362,56.61533972636997,5225.005178948991
556,0.18758719075356428,56.44549370719086,5194.231788418733
557,0.18702442918130358,56.27615722606929,5163.4752261851
558,0.18646335589375967,56.10732875439107,5132.735064303824
559,0.1859039658260784,55.93900676812791,5102.01087422718
560,0.18534625392860016,55.77118974782352,5071.302226796346
561,0.18479021516681435,55.603876178580045,5040.6086922337645
562,0.1842358445213139,55.437064550044305,5009.92984013546
563,0.18368313698774996,55.27075335639417,4979.265239463342
564,0.1831320875767867,55.10494109632499,4948.614458537482
565,0.18258269131405633,54.93962627303601,4917.977065028363
566,0.18203494324011416,54.77480739421691,4887.352625949103
567,0.18148883841039382,54.61048297203425,4856.74070764766
568,0.18094437189516263,54.44665152311815,4826.140875799004
569,0.18040153877947715,54.2833115685488,4795.552695397265
570,0.1798603341631387,54.12046163384314,4764.975730747859
571,0.1793207531606493,53.95810024894161,4734.409545459586
572,0.17878279090116736,53.79622594819479,4703.853702436698
573,0.17824644252846386,53.63483727035022,4673.307763870946
574,0.17771170320087848,53.473932758539156,4642.771291233597
575,0.17717856809127586,53.31351096026355,4612.243845267432
576,0.17664703238700202,53.15357042738276,4581.724985978704
577,0.17611709128984102,52.9941097161006,4551.214272629078
578,0.1755887400159715,52.8351273869523,4520.711263727541
579,0.1750619737959236,52.67662200479145,4490.215517022291
580,0.1745367878745358,52.51859213877707,4459.726589492587
581,0.1740131775109122,52.36103636236074,4429.244037340578
582,0.17349113797837945,52.20395325327366,4398.767415983108
583,0.17297066456444432,52.04734139351384,4368.2962800434825
584,0.172451752570751,51.89119936933329,4337.830183343218
585,0.17193439731303872,51.7355257712253,4307.368678893753
586,0.1714185941210996,51.58031919391162,4276.91131888814
587,0.1709043383387363,51.42557823632988,4246.457654692699
588,0.1703916253237201,51.27130150162089,4216.007236838651
589,0.16988045044774894,51.117487597116025,4185.559615013715
590,0.1693708090964057,50.964135134324685,4155.114338053681
591,0.1688626966691165,50.81124272892171,4124.670953933954
592,0.16835610857910915,50.658809000734955,4094.229009761056
593,0.16785104025337183,50.506832573732744,4063.7880517641224
594,0.16734748713261172,50.35531207601154,4033.347625286341
595,0.16684544467121387,50.204246139783514,4002.9072747763807
596,0.16634490833720023,50.05363340136416,3972.46654377978
597,0.16584587361218864,49.90347250116007,3942.0249749303075
598,0.16534833599135207,49.75376208365659,3911.582109941293
599,0.164852290983378,49.60450079740562,3881.1374895969243
600,0.16435773411042787,49.4556872950134,3850.6906537435157
601,0.1638646609080966,49.30732023312836,3820.2411412807446
602,0.1633730669253723,49.15939827242898,3789.7884901528537
603,0.16288294772459616,49.01192007761169,3759.3322373398264
604,0.16239429888142237,48.864884317378845,3728.8719188485256
605,0.1619071159847781,48.71828966442671,3698.4070697038023
606,0.16142139463682378,48.572134795433435,3667.937223939572
607,0.1609371304529133,48.426418391047136,3637.4619145898587
608,0.16045431906155455,48.28113913587399,3606.980673679805
609,0.15997295610436987,48.136295718466364,3576.49303221665
610,0.15949303723605676,47.991886831310964,3545.9985201806744
611,0.1590145581243486,47.84791117081703,3515.4966665161096
612,0.15853751444997555,47.704367437304576,3484.9869991220185
613,0.1580619019066256,47.56125433499267,3454.4690448431375
614,0.15758771620090573,47.418570571987686,3423.9423294606854
615,0.157114953052303,47.27631486027172,3393.406377683141
616,0.1566436081931461,47.134485915690895,3362.860713136983
617,0.15617367736856666,46.993082457943835,3332.3048583573986
618,0.15570515633646095,46.85210321057,3301.738334778952
619,0.15523804086745158,46.71154690093829,3271.1606627262236
620,0.15477232674484923,46.571412260235476,3240.5713614044116
621,0.15430800976461467,46.43169802345477,3209.969948889897
622,0.15384508573532082,46.2924029293844,3179.3559421207738
623,0.15338355047811486,46.15352572059625,3148.728856887346
624,0.15292339982668052,46.01506514343446,3118.0882078225827
625,0.15246462962720048,45.877019948004154,3087.4335083925434
626,0.15200723573831887,45.73938888816015,3056.7642708867616
627,0.15155121403110391,45.60217072149566,3026.0800064085943
628,0.1510965603890106,45.46536420933118,2995.380224865534
629,0.15064327070784356,45.32896811670318,2964.664434959483
630,0.15019134089572003,45.19298121235307,2933.9321441769935
631,0.14974076687303287,45.05740226871601,2903.1828587794635
632,0.14929154457241375,44.922230061909865,2872.416083793301
633,0.14884366993869652,44.78746337172413,2841.631323000048
634,0.14839713892888043,44.65310098160896,2810.828078926465
635,0.14795194751209378,44.51914167866413,2780.00585283458
636,0.1475080916695575,44.38558425362814,2749.164144711695
637,0.14706556739454882,44.25242750086725,2718.3024532603567
638,0.14662437069236517,44.11967021836465,2687.4202758882866
639,0.14618449758028806,43.98731120770955,2656.5171086982714
640,0.1457459440875472,43.85534927408642,2625.5924464780146
641,0.14530870625528455,43.72378322626417,2594.6457826899473
642,0.1448727801365187,43.592611876585366,2563.6766094610016
643,0.14443816179610913,43.46183404095561,2532.6844175723377
644,0.1440048473107208,43.331448538832745,2501.6686964490386
645,0.14357283276878863,43.20145419321624,2470.628934149757
646,0.14314211427048226,43.071849830636594,2439.564617356323
647,0.1427126879276708,42.942634281144684,2408.475231363315
648,0.1422845498638878,42.813806378301244,2377.3602600675804
649,0.14185769621429614,42.68536495916634,2346.219185957725
650,0.14143212312565326,42.55730886428884,2315.0514901035513
651,0.1410078267562763,42.42963693769598,2283.8566521454586
652,0.14058480327600748,42.30234802688289,2252.634150283801
653,0.14016304886617945,42.17544098280224,2221.383461268202
654,0.1397425597195809,42.048914659853835,2190.104060386827
655,0.13932333204042216,41.922767915874275,2158.7954214556075
656,0.1389053620443009,41.79699961212665,2127.4570168074315
657,0.138488645958168,41.67160861329027,2096.0883172812814
658,0.1380731800202935,41.546593787450405,2064.688792211331
659,0.13765896048023263,41.42195400608805,2033.2579094159996
660,0.13724598359879192,41.29768814406979,2001.7951351869608
661,0.13683424564799554,41.17379507963758,1970.2999342781054
662,0.13642374291105155,41.05027369439866,1938.77176989446
663,0.1360144716823184,40.92712287331547,1907.2101036810616
664,0.13560642826727143,40.80434150469552,1875.6143957117847
665,0.1351996089824696,40.681928480181426,1843.9841044781244
666,0.1347940101555222,40.559882694740885,1812.3186868779326
667,0.13438962812505564,40.43820304665666,1780.6175982041075
668,0.13398645924068048,40.316888437516695,1748.880292133238
669,0.13358449986295842,40.19593777220415,1717.1062207142
670,0.13318374636336955,40.07534995888753,1685.2948343567057
671,0.13278419512427944,39.955123909010865,1653.445581819807
672,0.1323858425389066,39.835258537283835,1621.55791020035
673,0.13198868501128988,39.71575276167198,1589.6312649213814
674,0.13159271895625602,39.59660550338696,1557.6650897205077
675,0.13119794079938724,39.47781568687681,1525.6588266382064
676,0.13080434697698906,39.35938223981617,1493.6119160060862
677,0.1304119339360581,39.24130409309672,1461.5237964351013
678,0.13002069813424993,39.12358018081743,1429.3939048037146
679,0.12963063603984717,39.00620944027498,1397.2216762460114
680,0.12924174413172762,38.88919081195415,1365.006544139765
681,0.12885401889933243,38.772523239518286,1332.7479400944499
682,0.12846745684263444,38.656205669799725,1300.445293939206
683,0.12808205447210655,38.54023705279034,1268.0980337107533
684,0.12769780830869024,38.42461634163197,1235.7055856412526
685,0.12731471488376417,38.30934249260707,1203.2673741461188
686,0.12693277073911288,38.19441446512925,1170.782821811779
687,0.12655197242689553,38.07983122173386,1138.2513493833828
688,0.12617231650961486,37.96559172806866,1105.6723757524571
689,0.12579379956008602,37.85169495288446,1073.0453179445103
690,0.12541641816140575,37.738139868025804,1040.369591106584
691,0.12504016890692154,37.62492544842173,1007.644608494751
692,0.12466504840020078,37.51205067207646,974.8697814615607
693,0.12429105325500017,37.39951452006023,942.0445194434316
694,0.12391818009523517,37.287315976500054,909.168229947988
695,0.12354642555494946,37.17545402857055,876.2403185413453
696,0.12317578627828461,37.06392766648484,843.2601888353386
697,0.12280625891944975,36.95273588348538,810.227242474698
698,0.1224378401426914,36.84187767583493,777.1408791241686
699,0.12207052662226334,36.73135204280742,744.0004964555752
700,0.12170431504239655,36.621157986679,710.8054901348315
701,0.12133920209726937,36.51129451271897,677.5552538088932
702,0.12097518449097756,36.401760629180814,644.249179092655
703,0.12061225893750463,36.292555347293266,610.8866555557915
704,0.12025042216069212,36.18367768125139,577.4670707095407
705,0.11988967089421004,36.07512664820764,543.9898099934308
706,0.11953000188152742,35.966901268263015,510.4542567619492
707,0.11917141187588283,35.85900056445822,476.85979227115456
708,0.11881389764025518,35.75142356276485,443.2057956652298
709,0.11845745594733442,35.644169292076555,409.49164396297726
710,0.11810208357949242,35.53723678420033,375.7167120442552
711,0.11774777732875394,35.43062507384773,341.8803726363551
712,0.11739453399676768,35.324333198626185,307.98199630031985
713,0.11704235039477738,35.2183601990303,274.0209514172021
714,0.11669122334359305,35.11270511843321,239.99660417426264
715,0.11634114967356228,35.00736700307792,205.90831855110855
716,0.1159921262245416,34.902344902068684,171.75545630577076
717,0.11564414984586797,34.79763786736248,137.5373769607206
718,0.11529721739633036,34.69324495376039,103.2534377888249
719,0.11495132574414137,34.58916521889911,68.90299379923982
720,0.11460647176690894,34.48539772324241,34.48539772324241
